Company Name, Telephone, Email, Website
2 DAYS INDUSTRIES SDN BHD (MFA-T20) , 019-3885257, teybockseng_84@hotmail.com, NaN
5R TRCHNOLOGY SDN BHD (MFA-F16) , 606-9869888, chia-lyc@hotmail.com, NaN
A PLUS ENTERPRISE (MFA-A26) , 017-8888509, aplusfurniture7115@hotmail.com, NaN
A PLUS SPRAYING ENTERPRISE (MFA-A22) , 017-2015255, aplussprayingenterprise@gmail.com, NaN
ABACI FURNISHING RESOURCES SDN BHD (MFA-Y21) , 606-9860360, abacimarketing@hotmail.com, NaN
ACME UPHOLSTERY MANUFACTURING SDN BHD (MFA-A20) , 010-7131588, acme@acmeupholstery.com.my, www.acmeupholstery.com.my
AH HOCK ENTERPRISE (MFA-A3) , 606-9536573, NaN, NaN
AIK CHEE FURNITURE SDN BHD (MFA-A4) , 606-9728000, simhl@aikchee.com.my / lily@aikchee.com.my, www.aikchee.com.my
AKZO NOBEL ADHESIVES SDN BHD (MFA-C2) , 06-9813099, waichan.lau@akzonobel.com, www.akzonobel.com
ALBERT SIAH ENGINEERING WORK (MFA-A18) , 06-9867216, albertsiah7216@gmail.com, NaN
ALEXIS FURNITURE DECORATION (MFA-A6) , 606-9863288, alexisfur23@gmail.com / chung.maylin@yahoo.com, NaN
ALLIED INTEGRATED MARKETING SDN BHD (MFA-A8) , 606-9811328, monica.lim@live.com, NaN
ALPHABOT MACHINERY SDN BHD (MFA-A27) , 06-9548228, alphabotmachinery@gmail.com, www.alphabot.com.my
ALUSTIL SDN BHD (MFA-A17) , 06-9869069, info@alustil.com.my, www.alustil.com.my/beginn/
AMAZING PREMIUM SDN BHD （MFA-A13） , 606-9863205, NaN, NaN
AN LONG INDUSTRIAL PARTS SDN BHD (MFA-A15) , 606-9542210, anlong_97@hotmail.com / vivianwong1122@gmail.com, NaN
APEX ONLINE (M) SDN BHD (MFA-A21) , 606-9866550, apex4019@gmail.com, NaN
ART FURNITURE INDUSTRIES (M) SDN BHD （MFA-A9） , 606-9857326 / 9857324, elfred@artfim.netivy@artfim.net, www.artfim.net
ART WOODEN PRODUCTS (MFA-A12) , +606 986 7018, NaN, NaN
ASIA GLOBAL PAINTS SDN BHD (MFA-A23) , 06-9872830, asiaglobalpaints@gmail.com, NaN
ASPIRE FURNITURE SDN BHD (MFA-A19) , 06-9866701, aspire858@hotmail.com, NaN
AUSTINE WOOD TRADING (MFA-A14) , 606-9850107, austine_awt@yahoo.com, NaN
BAN HUP HENG HARDWARE SDN BHD (MFA-B5) , +606-952 1287 / 952 2209, bhhhardware@hotmail.com, www.banhupheng.myinfo.my
BAN LENG FURNITURE SDN BHD (MFA-B6) , 606-9864428, NaN, NaN
BAN LENG WOODWORKING SDN BHD (MFA-B25) , 06-9860889, banlengwood@gmail.com, NaN
BAN SON FURNITURE INDUSTRIES SDN BHD (MFA-B7) , 06-9811877, bansonfurniture@gmail.com, NaN
BAND WOOD SDN BHD (MFA-B19) , 017-2487773, jocelynbo@yahoo.com, NaN
BANHONG FURNITURE IND. SDN BHD (MFA-B8) , NaN, NaN, NaN
BENG TIAN ENTERPRISE SDN BHD (MFA-B10) , 606 986 0949, bte1818@yahoo.com, NaN
BERSATU MAJU NIAGA SDN BHD (MFA-B23) , 06-9529868, acct@bmn.my, NaN
BEST BETECK INDUSTRIES SDN BHD (MFA-B21) , 606-9865848, info@bestbeteck.com tang@bestbeteck.com, www.bestbeteck.com
BEST ETS FURNITURE SDN BHD  (MFA-B20) , 012-6969409, ets2990@gmail.com, NaN
BEST-BETECK FURNITURE SDN. BHD. (MFA-B11) , 606-9866967 / 9867967, info@bestbeteck.com, www.bestbeteck.com
BF FURNITURE (MFA-B24) , 06-9867202, bffurniture02@yahoo.com, NaN
BK FURNITURE IND. SDN BHD (MFA-B12) , NaN, NaN, NaN
BLANCO WOOD ENTERPRISE (MFA-B17) , 606-9865250, NaN, NaN
BM FURNITURE SDN BHD　(MFA-B4) , 606-9873868, bm@bmfurniture.com, www.bmfurniture.com
BOW VICTORY SDN BHD (MFA-B16) , 606-9869793, bowvsb@gmail.com, www.bowvictory.com
BRILLIANT BIZ SDN BHD (MFA-B27) , 011-55026599, brilliantbiz88@gmail.com, NaN
BRILLIANT FURNITURE SDN BHD (MFA-B26) , 06-9812328, brilliantfur@yahoo.com / millkmilk99@gmail.com, NaN
BRISK FORCE (M) SDN BHD (MFA-B13) , NaN, NaN, NaN
